Unique ID,Application Submitted Date,College,Application Program,Application Start Term,Decision Reason,Application Scholarship Tier,Admit Date,Confirm/Deny Date,Age,Person Sex,Person Race,Person Citizenship Status,Country,Registered in Colleague
999789535,10/10/23,Albers School of Business,Business Administration (Professional) - MBA - Online Instruction,Winter 2024,Deposit - Not Required,2023-G0 - $0,10/16/2023,10/16/2023,33,M,White,US,United States,1
982505163,19/12/23,Albers School of Business,Sport and Entertainment Management - MBA,Winter 2024,Deposit - Not Required,2023-G0 - $0,01/08/24,01/09/24,23,M,Black or African American,US,United States,0
999851695,31/01/21,College of Education,"Counseling, Clinical Mental Health Counseling specialization - MAED",Fall 2021,Admit Declined,2021-G2 - $2400,03/13/2021,03/13/2021,26,F,Unknown,US,United States,0
978092429,15/12/23,Albers School of Business,Business Administration (Professional) - MBA - Online Instruction,Winter 2024,Deposit - Not Required,2023-G0 - $0,12/20/2023,12/20/2023,31,F,White,US,United States,1
976965474,28/03/22,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,09/09/23,09/09/23,39,M,Black or African American,FN,Nigeria,0
970859007,12/05/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined,2023-G0 - $0,05/24/2023,05/24/2023,25,F,Asian - Asian American,US,United States,0
970729242,28/11/23,Albers School of Business,Business Administration (Professional) - MBA - Online Instruction,Winter 2024,Admit Declined,2023-G0 - $0,11/29/2023,11/29/2023,39,M,White,US,United States,0
940548451,21/07/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined,2023-G0 - $0,09/10/23,09/10/23,32,F,Asian,FN,China,0
937980138,14/06/23,Albers School of Business,Accounting and Analytics - MS,Winter 2024,Deposit - Not Required,2023-G0 - $0,07/25/2023,07/25/2023,26,M,Asian - Asian American,US,United States,1
999050220,06/10/23,College of Science and Engineering,Computer Science - MSCS,Spring 2024,Admit Conditional & Bridge,2023-G4 - $4800,11/15/2023,11/15/2023,22,M,Asian,FN,India,0
933461691,31/10/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,11/14/2023,11/14/2023,25,M,Asian,FN,United States,1
998658106,18/06/21,College of Arts and Sciences,Nonprofit Leadership - MNPL,Fall 2022,Admit Declined,2022-G1 - $1200,04/12/22,04/12/22,34,F,White,US,United States,0
933064709,26/09/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,10/21/2023,10/21/2023,23,M,Asian,FN,India,0
921788688,21/06/23,Albers School of Business,Accounting and Analytics - MS,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,08/08/23,08/09/23,29,M,Asian,FN,India,0
898170012,27/03/23,Albers School of Business,Finance - MSF,Winter 2024,Admit Declined,2023-G0 - $0,09/09/23,09/09/23,36,M,Black or African American,FN,The Gambia,0
001942575,16/03/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Summer 2022,Deposit - Not Required,2022-G2 - $2400,03/31/2022,05/10/22,27,F,Asian,FN,United States,0
997702787,09/03/22,College of Arts and Sciences,Criminal Justice - MACJ,Fall 2022,Deposit - Not Required,2022-G3 - $3600,03/29/2022,04/19/2022,27,M,White,US,United States,1
891384063,16/02/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,09/09/23,09/11/23,27,F,Asian,FN,China,0
997485050,01/02/21,College of Education,Teacher Preparation - MIT,Fall 2021,Admit Declined,2021-G2 - $2400,03/12/21,03/12/21,25,F,White,US,United States,0
876805695,29/06/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,07/25/2023,07/29/2023,34,M,White,US,United States,1
876484472,18/04/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined,2023-G0 - $0,07/08/23,07/08/23,31,M,Asian,FN,India,0
866071628,29/06/23,Albers School of Business,Business Administration (Professional) - MBA,Winter 2024,Admit Declined,2023-G0 - $0,08/18/2023,08/18/2023,31,F,Asian,FN,India,0
863760556,28/09/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,11/14/2023,12/02/23,26,M,Asian - Asian American,US,United States,0
862598905,20/11/23,College of Science and Engineering,"Computer Science, specialization in Software Engineering - MSCS",Winter 2024,Deposit - Not Required,2023-G0 - $0,12/02/23,12/08/23,22,M,Asian - Asian American,US,United States,1
847061395,31/08/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,10/16/2023,10/24/2023,33,F,White,US,United States,0
840219865,13/06/23,Albers School of Business,Business Administration (Professional) - MBA,Winter 2024,Admit Declined,2023-G0 - $0,08/08/23,08/08/23,25,F,Asian,FN,India,0
837956605,13/08/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined,2023-G0 - $0,12/15/2023,12/15/2023,35,M,Black or African American,US,United States,0
996762427,11/12/22,College of Arts and Sciences,Kinesiology - MS,Fall 2023,Admit Declined - Post Enroll(CF),2023-G1 - $1200,03/13/2023,03/13/2023,24,F,Asian,FN,India,0
835784998,26/07/23,College of Science and Engineering,Mechanical Engineering - MSME,Winter 2024,Admit Declined,2023-G0 - $0,09/10/23,09/10/23,24,M,Asian,FN,India,0
825862107,25/08/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Admit Declined,2023-G0 - $0,10/14/2023,10/14/2023,34,U,White,US,United States,0
802537387,26/08/23,College of Science and Engineering,Computer Science - MSCS,Winter 2024,Admit Declined,2023-G0 - $0,11/06/23,11/06/23,23,F,Asian,FN,India,0
798041108,03/01/24,College of Nursing,"Nurse Practitioner, Family Nurse-Adult Gerontology Primary Care - DNP",Winter 2024,Deposit - Not Required,2023-G0 - $0,01/09/24,01/09/24,45,F,Asian - Asian American,US,United States,1
790440644,20/12/23,College of Nursing,"Nurse Practitioner, Family Nurse-Adult Gerontology Primary Care - DNP",Winter 2024,Deposit - Not Required,2023-G0 - $0,12/22/2023,12/22/2023,32,F,White,US,United States,1
996497557,06/07/23,College of Education,"Counseling, Clinical Mental Health Counseling specialization - MAED - Online Instruction",Fall 2023,Deposit - Not Required,2023-G3 - $3600,07/20/2023,07/20/2023,42,F,White,US,United States,1
785034004,08/11/23,Albers School of Business,Finance - MSF,Winter 2024,Deposit - Not Required,2023-G0 - $0,12/05/23,12/05/23,31,F,Asian,FN,India,1
773849214,27/12/22,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,07/11/23,07/19/2023,28,F,Asian - Asian American,US,United States,1
737685754,05/08/23,College of Science and Engineering,Mechanical Engineering - MSME,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,09/10/23,09/23/2023,22,M,Asian,FN,India,0
733326951,02/08/23,College of Science and Engineering,Mechanical Engineering - MSME,Winter 2024,Admit Declined,2023-G0 - $0,09/10/23,09/10/23,23,M,Asian,FN,India,0
726840325,15/12/22,Albers School of Business,Business Administration (Professional) - MBA,Winter 2024,Admit Declined,2023-G0 - $0,08/08/23,08/08/23,41,F,Black or African American,FN,Sudan,0
723623271,14/11/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,11/19/2023,12/01/23,44,M,White,US,United States,1
722015171,31/10/23,College of Science and Engineering,Computer Science Fundamentals Certificate,Winter 2024,Deposit - Not Required,2023-G0 - $0,11/14/2023,11/16/2023,33,M,Black or African American,US,United States,1
718982384,28/02/23,Albers School of Business,Business Administration (Professional) - MBA,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,09/25/2023,10/18/2023,25,M,Asian,FN,Pakistan,0
995707541,05/01/21,College of Education,"Counseling, Clinical Mental Health Counseling specialization - MAED",Fall 2021,Deposit - Not Required,2021-G4 - $4800,03/13/2021,04/11/21,30,F,White,US,United States,1
706904357,08/04/23,Albers School of Business,Business Administration (Professional) - MBA,Winter 2024,Admit Declined - Post Enroll(CF),2023-G0 - $0,07/26/2023,08/09/23,27,M,Asian,FN,Pakistan,0
995283371,01/11/22,College of Science and Engineering,Computer Science - MSCS,Fall 2023,Admit Declined - Post Enroll(CF),2023-G4 - $4800,04/03/23,04/17/2023,23,F,Asian,FN,India,0
703759614,27/01/23,College of Science and Engineering,Computer Science - MSCS,Winter 2024,Admit Declined,2023-G0 - $0,10/07/23,10/07/23,23,M,Asian,FN,India,0
